,DATE,TIME PERIOD,US dollar/Euro ECB reference exchange rate (EXR.M.USD.EUR.SP00.A)
0,2021-01-31,2021Jan,1.0283034809057114
1,2021-02-28,2021Feb,1.0221358567083474
2,2021-03-31,2021Mar,1.0053227441703279
3,2021-04-30,2021Apr,1.012081784386617
4,2021-05-31,2021May,1.0261912808381208
5,2021-06-30,2021Jun,1.017826968570463
6,2021-07-31,2021Jul,0.9988171679621494
7,2021-08-31,2021Aug,0.9945927678269686
8,2021-09-30,2021Sep,0.9944237918215614
9,2021-10-31,2021Oct,0.9801453193646501
10,2021-11-30,2021Nov,0.964346062859074
11,2021-12-31,2021Dec,0.9550523825616763
12,2022-01-31,2022Jan,0.9558972625887123
13,2022-02-28,2022Feb,0.9582629266644137
14,2022-03-31,2022Mar,0.9309733017911458
15,2022-04-30,2022Apr,0.9140757012504225
16,2022-05-31,2022May,0.8937985806015546
17,2022-06-30,2022Jun,0.8927002365664075
18,2022-07-31,2022Jul,0.8600033795201082
19,2022-08-31,2022Aug,0.8556944913822236
20,2022-09-30,2022Sep,0.8367691787766137
21,2022-10-31,2022Oct,0.8301791145657317
22,2022-11-30,2022Nov,0.8618621155795877
23,2022-12-31,2022Dec,0.8946434606285907
24,2023-01-31,2023Jan,0.9098513011152416
25,2023-02-28,2023Feb,0.9052889489692463
26,2023-03-31,2023Mar,0.9045285569449139
27,2023-04-30,2023Apr,0.9266644136532612
28,2023-05-31,2023May,0.9182156133828996
29,2023-06-30,2023Jun,0.9158499493071984
30,2023-07-31,2023Jul,0.9342683338965866
31,2023-08-31,2023Aug,0.9216796214937479
32,2023-09-30,2023Sep,0.9026698208854343
33,2023-10-31,2023Oct,0.8924467725582967
34,2023-11-30,2023Nov,0.9131463332206826
35,2023-12-31,2023Dec,0.9211726934775263
36,2024-01-31,2024Jan,0.9213416694829335
37,2024-02-29,2024Feb,0.9120479891855355
38,2024-03-31,2024Mar,0.918553565393714
39,2024-04-30,2024Apr,0.9063872930043934
40,2024-05-31,2024May,0.913484285231497
41,2024-06-30,2024Jun,0.9090064210882055
42,2024-07-31,2024Jul,0.9161879013180129
43,2024-08-31,2024Aug,0.9303818857722204
44,2024-09-30,2024Sep,0.9383237580263603
45,2024-10-31,2024Oct,0.9212571814802298
46,2024-11-30,2024Nov,0.8981074687394389
47,2024-12-31,2024Dec,0.885349780331193
48,2025-01-31,2025Jan,0.874788779993241
49,2025-02-28,2025Feb,0.8797735721527542
50,2025-03-31,2025Mar,0.9130618452179791
51,2025-04-30,2025Apr,0.9474484623183508
52,2025-05-31,2025May,0.9528556944913822
53,2025-06-30,2025Jun,0.9729638391348429
54,2025-07-31,2025Jul,0.986566407570125
55,2025-08-31,2025Aug,0.9826799594457587
56,2025-09-30,2025Sep,0.9912132477188239
57,2025-10-31,2025Oct,0.9825954714430551
58,2025-11-30,2025Nov,0.9766813112538019
59,2025-12-31,2025Dec,0.9892700236566409
