DATE,TIME PERIOD,US dollar/Euro ECB reference exchange rate (EXR.M.USD.EUR.SP00.A)
2021-01-31,2021Jan,1.2171
2021-02-28,2021Feb,1.2098
2021-03-31,2021Mar,1.1899
2021-04-30,2021Apr,1.1979
2021-05-31,2021May,1.2146
2021-06-30,2021Jun,1.2047
2021-07-31,2021Jul,1.1822
2021-08-31,2021Aug,1.1772
2021-09-30,2021Sep,1.1770
2021-10-31,2021Oct,1.1601
2021-11-30,2021Nov,1.1414
2021-12-31,2021Dec,1.1304
2022-01-31,2022Jan,1.1314
2022-02-28,2022Feb,1.1342
2022-03-31,2022Mar,1.1019
2022-04-30,2022Apr,1.0819
2022-05-31,2022May,1.0579
2022-06-30,2022Jun,1.0566
2022-07-31,2022Jul,1.0179
2022-08-31,2022Aug,1.0128
2022-09-30,2022Sep,0.9904
2022-10-31,2022Oct,0.9826
2022-11-30,2022Nov,1.0201
2022-12-31,2022Dec,1.0589
2023-01-31,2023Jan,1.0769
2023-02-28,2023Feb,1.0715
2023-03-31,2023Mar,1.0706
2023-04-30,2023Apr,1.0968
2023-05-31,2023May,1.0868
2023-06-30,2023Jun,1.0840
2023-07-31,2023Jul,1.1058
2023-08-31,2023Aug,1.0909
2023-09-30,2023Sep,1.0684
2023-10-31,2023Oct,1.0563
2023-11-30,2023Nov,1.0808
2023-12-31,2023Dec,1.0903
2024-01-31,2024Jan,1.0905
2024-02-29,2024Feb,1.0795
2024-03-31,2024Mar,1.0872
2024-04-30,2024Apr,1.0728
2024-05-31,2024May,1.0812
2024-06-30,2024Jun,1.0759
2024-07-31,2024Jul,1.0844
2024-08-31,2024Aug,1.1012
2024-09-30,2024Sep,1.1106
2024-10-31,2024Oct,1.0904
2024-11-30,2024Nov,1.0630
2024-12-31,2024Dec,1.0479
2025-01-31,2025Jan,1.0354
2025-02-28,2025Feb,1.0413
2025-03-31,2025Mar,1.0807
2025-04-30,2025Apr,1.1214
2025-05-31,2025May,1.1278
2025-06-30,2025Jun,1.1516
2025-07-31,2025Jul,1.1677
2025-08-31,2025Aug,1.1631
2025-09-30,2025Sep,1.1732
2025-10-31,2025Oct,1.1630
2025-11-30,2025Nov,1.1560
2025-12-31,2025Dec,1.1709
