,DATE,TIME PERIOD,Main refinancing operations - fixed rate tenders (fixed rate) (date of changes) - Level (FM.B.U2.EUR.4F.KR.MRR_FR.LEV) - Modified value (Monthly)
0,2021-01-31,2021Jan,0.0
1,2021-02-28,2021Feb,0.0
2,2021-03-31,2021Mar,0.0
3,2021-04-30,2021Apr,0.0
4,2021-05-31,2021May,0.0
5,2021-06-30,2021Jun,0.0
6,2021-07-31,2021Jul,0.0
7,2021-08-31,2021Aug,0.0
8,2021-09-30,2021Sep,0.0
9,2021-10-31,2021Oct,0.0
10,2021-11-30,2021Nov,0.0
11,2021-12-31,2021Dec,0.0
12,2022-01-31,2022Jan,0.0
13,2022-02-28,2022Feb,0.0
14,2022-03-31,2022Mar,0.0
15,2022-04-30,2022Apr,0.0
16,2022-05-31,2022May,0.0
17,2022-06-30,2022Jun,0.0
18,2022-07-31,2022Jul,0.5
19,2022-08-31,2022Aug,0.5
20,2022-09-30,2022Sep,1.25
21,2022-10-31,2022Oct,1.25
22,2022-11-30,2022Nov,2.0
23,2022-12-31,2022Dec,2.5
24,2023-01-31,2023Jan,2.5
25,2023-02-28,2023Feb,3.0
26,2023-03-31,2023Mar,3.5
27,2023-04-30,2023Apr,3.5
28,2023-05-31,2023May,3.75
29,2023-06-30,2023Jun,4.0
30,2023-07-31,2023Jul,4.0
31,2023-08-31,2023Aug,4.25
32,2023-09-30,2023Sep,4.5
33,2023-10-31,2023Oct,4.5
34,2023-11-30,2023Nov,4.5
35,2023-12-31,2023Dec,4.5
36,2024-01-31,2024Jan,4.5
37,2024-02-29,2024Feb,4.5
38,2024-03-31,2024Mar,4.5
39,2024-04-30,2024Apr,4.5
40,2024-05-31,2024May,4.5
41,2024-06-30,2024Jun,4.25
42,2024-07-31,2024Jul,4.25
43,2024-08-31,2024Aug,4.25
44,2024-09-30,2024Sep,3.65
45,2024-10-31,2024Oct,3.4
46,2024-11-30,2024Nov,3.4
47,2024-12-31,2024Dec,3.15
48,2025-01-31,2025Jan,3.15
49,2025-02-28,2025Feb,2.9
50,2025-03-31,2025Mar,2.65
51,2025-04-30,2025Apr,2.4
52,2025-05-31,2025May,2.4
53,2025-06-30,2025Jun,2.15
54,2025-07-31,2025Jul,2.15
55,2025-08-31,2025Aug,2.15
56,2025-09-30,2025Sep,2.15
57,2025-10-31,2025Oct,2.15
58,2025-11-30,2025Nov,2.15
59,2025-12-31,2025Dec,2.15
