,Date,MSCI
0,2021-01-29,1153.392
1,2021-02-26,1159.958228
2,2021-03-31,1164.344152
3,2021-04-30,1171.711953
4,2021-05-31,1174.394424
5,2021-06-30,1179.111595
6,2021-07-30,1182.874522
7,2021-08-31,1186.194006
8,2021-09-30,1181.548282
9,2021-10-29,1173.999213
10,2021-11-30,1166.166383
11,2021-12-31,1175.848836
12,2022-01-31,1160.518178
13,2022-02-28,1130.737823
14,2022-03-31,1130.916753
15,2022-04-29,1094.748642
16,2022-05-31,1084.707711
17,2022-06-30,1018.398966
18,2022-07-29,1067.180388
19,2022-08-31,1049.230413
20,2022-09-30,1008.090982
21,2022-10-31,1028.501023
22,2022-11-30,1063.799291
23,2022-12-30,1058.300297
24,2023-01-31,1087.391985
25,2023-02-28,1083.748768
26,2023-03-31,1081.858307
27,2023-04-28,1086.162639
28,2023-05-31,1094.027109
29,2023-06-30,1094.213668
30,2023-07-31,1108.263641
31,2023-08-31,1109.466043
32,2023-09-29,1108.208561
33,2023-10-31,1105.920718
34,2023-11-30,1138.345371
35,2023-12-29,1170.941376
36,2024-01-31,1171.267892
37,2024-02-29,1169.467497
38,2024-03-29,1174.866558
39,2024-04-30,1175.486436
40,2024-05-31,1186.08968
41,2024-06-28,1187.962356
42,2024-07-31,1206.726537
43,2024-08-30,1217.70065
44,2024-09-30,1227.621742
45,2024-10-31,1231.074853
46,2024-11-29,1238.984353
47,2024-12-31,1246.376438
48,2025-01-31,1253.857812
49,2025-02-28,1265.929906
50,2025-03-31,1255.835568
51,2025-04-30,1261.863085
52,2025-05-30,1275.839946
53,2025-06-30,1282.366255
54,2025-07-31,1297.551865
55,2025-08-29,1298.9836
56,2025-09-30,1306.444913
57,2025-10-31,1313.242821
58,2025-11-28,1314.447274
59,2025-12-31,1319.376717
