,pr,epi,rGDP,CPI,ltir
2026,4.274932064385406,116.38119714540142,21240.731135517144,4.628456647104019,4.394793227504913
2027,4.794455712216359,125.5564108115497,21540.78335710841,4.624244109047339,4.69933636770861
2028,5.0453392488747735,128.67864615329515,21601.157281354037,4.241474720737063,4.790038574709333
2029,5.246672325756592,130.25017863584145,21607.791190084023,3.9851316383242703,4.816422672980472
2030,5.410450924831703,130.7499059099072,21580.918540506027,3.84283460625089,4.7727511820166555
2031,5.334593804752185,130.72815336477748,21539.36881520289,3.585289297060926,4.694010749064905
2032,5.207941064842668,130.5316989448774,21512.843774040182,3.3524188934016843,4.611855110348038
2033,5.135438929498777,129.98661973169752,21494.259942271816,3.2557996471757398,4.529562595171592
2034,5.089065118452715,129.79509075540167,21486.48793751622,3.2232516563709424,4.450261305899142
2035,5.050115684294505,129.6464342728701,21481.02522885329,3.2118832778371806,4.369603885752759
2036,4.9289637726553375,129.85814588106751,21496.06119193921,3.1114890139380726,4.290745372152423
2037,4.774844622017971,130.14037181758277,21522.174985977097,3.005813737761625,4.219693735344665
2038,4.662121741929009,130.51371203620525,21557.194426857328,2.93822596936287,4.170964319469219
2039,4.548038803527828,131.28092068266855,21611.430430179455,2.9211823347895405,4.126264730528183
2040,4.427444386950318,132.09171848966673,21668.926484688236,2.9189952727279844,4.083712857782897
2041,4.3655310428963165,133.06283627786124,21729.155645249855,2.966182397714294,4.0500804288027235
2042,4.3224224736272765,134.4394571412799,21800.33129434218,2.9970780945523123,4.028941184627705
2043,4.272758400759397,136.04875053939358,21865.07354235482,3.0143321938486305,4.014394683871969
2044,4.215699711947924,137.50501646174285,21917.002389521385,3.0187322751678303,4.003290133410705
2045,4.178838375719539,139.14797268031185,21966.029227310228,3.0319004462255297,4.00869464825233
2046,4.174999349595976,140.6589885791171,22007.8269804913,3.1231335954926442,4.006588115071471
2047,4.157781409947795,141.86527357063122,22027.866178708373,3.224179423342608,3.994791658756094
2048,4.164507126590277,143.10081420903765,22051.018652223614,3.244337679050787,4.0013503569232185
2049,4.1475251872264485,144.40583149164203,22070.771080901683,3.2733603413593233,4.003157589201077
2050,4.12051218418647,145.4850744357765,22085.35365445037,3.3172595357534798,3.998022379485899
